"vaccine_rollout_phase","province","district","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Amathole DM","Private Health","Female","152","36","188"
"National","eastern cape","Amathole DM","Private Health","Male","94","18","112"
"National","eastern cape","Amathole DM","Public Health","Female","14290","5288","19578"
"National","eastern cape","Amathole DM","Public Health","Male","12190","4374","16564"
"National","eastern cape","A Nzo DM","Public Health","Female","31780","16210","47990"
"National","eastern cape","A Nzo DM","Public Health","Male","27913","12491","40404"
"National","eastern cape","Buffalo City MM","Private Health","Female","2838","1168","4006"
"National","eastern cape","Buffalo City MM","Private Health","Male","2311","893","3204"
"National","eastern cape","Buffalo City MM","Public Health","Female","16333","9419","25752"
"National","eastern cape","Buffalo City MM","Public Health","Male","12850","6552","19402"
"National","eastern cape","C Hani DM","Private Health","Female","221","106","327"
"National","eastern cape","C Hani DM","Private Health","Male","155","76","231"
"National","eastern cape","C Hani DM","Public Health","Female","13845","3619","17464"
"National","eastern cape","C Hani DM","Public Health","Male","11130","2636","13766"
"National","eastern cape","Joe Gqabi DM","Private Health","Female","654","363","1017"
"National","eastern cape","Joe Gqabi DM","Private Health","Male","494","217","711"
"National","eastern cape","Joe Gqabi DM","Public Health","Female","7853","2721","10574"
"National","eastern cape","Joe Gqabi DM","Public Health","Male","7019","2197","9216"
"National","eastern cape","N Mandela Bay MM","Private Health","Female","4066","2044","6110"
"National","eastern cape","N Mandela Bay MM","Private Health","Male","3676","1711","5387"
"National","eastern cape","N Mandela Bay MM","Public Health","Female","15652","6436","22088"
"National","eastern cape","N Mandela Bay MM","Public Health","Male","12204","4557","16761"
"National","eastern cape","O Tambo DM","Private Health","Female","309","119","428"
"National","eastern cape","O Tambo DM","Private Health","Male","245","112","357"
"National","eastern cape","O Tambo DM","Public Health","Female","43756","16965","60721"
"National","eastern cape","O Tambo DM","Public Health","Male","36694","12673","49367"
"National","eastern cape","Sarah Baartman DM","Private Health","Female","1571","1080","2651"
"National","eastern cape","Sarah Baartman DM","Private Health","Male","1369","821","2190"
"National","eastern cape","Sarah Baartman DM","Public Health","Female","9610","5377","14987"
"National","eastern cape","Sarah Baartman DM","Public Health","Male","8064","4002","12066"
"National","free state","Fezile Dabi DM","Private Health","Female","471","342","813"
"National","free state","Fezile Dabi DM","Private Health","Male","448","285","733"
"National","free state","Fezile Dabi DM","Public Health","Female","13179","5019","18198"
"National","free state","Fezile Dabi DM","Public Health","Male","10763","3639","14402"
"National","free state","Lejweleputswa DM","Private Health","Female","3763","1449","5212"
"National","free state","Lejweleputswa DM","Private Health","Male","3012","1089","4101"
"National","free state","Lejweleputswa DM","Public Health","Female","14057","5293","19350"
"National","free state","Lejweleputswa DM","Public Health","Male","12061","3733","15794"
"National","free state","Mangaung MM","Private Health","Female","2963","1921","4884"
"National","free state","Mangaung MM","Private Health","Male","2436","1453","3889"
"National","free state","Mangaung MM","Public Health","Female","23451","13874","37325"
"National","free state","Mangaung MM","Public Health","Male","20934","11204","32138"
"National","free state","T Mofutsanyana DM","Private Health","Female","1841","1120","2961"
"National","free state","T Mofutsanyana DM","Private Health","Male","1582","914","2496"
"National","free state","T Mofutsanyana DM","Public Health","Female","26786","15462","42248"
"National","free state","T Mofutsanyana DM","Public Health","Male","23019","11650","34669"
"National","free state","Xhariep DM","Public Health","Female","4261","1196","5457"
"National","free state","Xhariep DM","Public Health","Male","3485","815","4300"
"National","gauteng","Ekurhuleni MM","Private Health","Female","10760","6564","17324"
"National","gauteng","Ekurhuleni MM","Private Health","Male","9935","5609","15544"
"National","gauteng","Ekurhuleni MM","Public Health","Female","40728","15267","55995"
"National","gauteng","Ekurhuleni MM","Public Health","Male","32240","11178","43418"
"National","gauteng","Johannesburg MM","Private Health","Female","25295","13685","38980"
"National","gauteng","Johannesburg MM","Private Health","Male","23101","11896","34997"
"National","gauteng","Johannesburg MM","Public Health","Female","46251","16788","63039"
"National","gauteng","Johannesburg MM","Public Health","Male","37462","13115","50577"
"National","gauteng","Sedibeng DM","Private Health","Female","1583","1011","2594"
"National","gauteng","Sedibeng DM","Private Health","Male","1424","691","2115"
"National","gauteng","Sedibeng DM","Public Health","Female","13737","5884","19621"
"National","gauteng","Sedibeng DM","Public Health","Male","10836","4530","15366"
"National","gauteng","Tshwane MM","Private Health","Female","11467","6603","18070"
"National","gauteng","Tshwane MM","Private Health","Male","10900","5974","16874"
"National","gauteng","Tshwane MM","Public Health","Female","39888","18578","58466"
"National","gauteng","Tshwane MM","Public Health","Male","30809","13058","43867"
"National","gauteng","West Rand DM","Private Health","Female","2175","1503","3678"
"National","gauteng","West Rand DM","Private Health","Male","1812","1225","3037"
"National","gauteng","West Rand DM","Public Health","Female","17418","8794","26212"
"National","gauteng","West Rand DM","Public Health","Male","14258","6576","20834"
"National","kwazulu-natal","Amajuba DM","Private Health","Female","210","71","281"
"National","kwazulu-natal","Amajuba DM","Private Health","Male","184","57","241"
"National","kwazulu-natal","Amajuba DM","Public Health","Female","6520","2824","9344"
"National","kwazulu-natal","Amajuba DM","Public Health","Male","4205","1739","5944"
"National","kwazulu-natal","eThekwini MM","Private Health","Female","11748","6907","18655"
"National","kwazulu-natal","eThekwini MM","Private Health","Male","10952","6134","17086"
"National","kwazulu-natal","eThekwini MM","Public Health","Female","14463","5542","20005"
"National","kwazulu-natal","eThekwini MM","Public Health","Male","11791","4432","16223"
"National","kwazulu-natal","Harry Gwala DM","Private Health","Female","356","165","521"
"National","kwazulu-natal","Harry Gwala DM","Private Health","Male","342","135","477"
"National","kwazulu-natal","Harry Gwala DM","Public Health","Female","12948","7725","20673"
"National","kwazulu-natal","Harry Gwala DM","Public Health","Male","10133","5612","15745"
"National","kwazulu-natal","iLembe DM","Private Health","Female","541","330","871"
"National","kwazulu-natal","iLembe DM","Private Health","Male","479","276","755"
"National","kwazulu-natal","iLembe DM","Public Health","Female","8307","4130","12437"
"National","kwazulu-natal","iLembe DM","Public Health","Male","4906","2209","7115"
"National","kwazulu-natal","King Cetshwayo DM","Private Health","Female","328","131","459"
"National","kwazulu-natal","King Cetshwayo DM","Private Health","Male","305","93","398"
"National","kwazulu-natal","King Cetshwayo DM","Public Health","Female","12344","5037","17381"
"National","kwazulu-natal","King Cetshwayo DM","Public Health","Male","8015","3075","11090"
"National","kwazulu-natal","Ugu DM","Private Health","Female","899","557","1456"
"National","kwazulu-natal","Ugu DM","Private Health","Male","713","424","1137"
"National","kwazulu-natal","Ugu DM","Public Health","Female","12339","5137","17476"
"National","kwazulu-natal","Ugu DM","Public Health","Male","7976","2766","10742"
"National","kwazulu-natal","uMgungundlovu DM","Private Health","Female","1606","836","2442"
"National","kwazulu-natal","uMgungundlovu DM","Private Health","Male","1491","760","2251"
"National","kwazulu-natal","uMgungundlovu DM","Public Health","Female","12554","4951","17505"
"National","kwazulu-natal","uMgungundlovu DM","Public Health","Male","8737","3063","11800"
"National","kwazulu-natal","Umkhanyakude DM","Private Health","Female","21","5","26"
"National","kwazulu-natal","Umkhanyakude DM","Private Health","Male","25","7","32"
"National","kwazulu-natal","Umkhanyakude DM","Public Health","Female","20424","10316","30740"
"National","kwazulu-natal","Umkhanyakude DM","Public Health","Male","12943","5423","18366"
"National","kwazulu-natal","Umzinyathi DM","Private Health","Female","57","18","75"
"National","kwazulu-natal","Umzinyathi DM","Private Health","Male","33","13","46"
"National","kwazulu-natal","Umzinyathi DM","Public Health","Female","14832","6316","21148"
"National","kwazulu-natal","Umzinyathi DM","Public Health","Male","9140","3439","12579"
"National","kwazulu-natal","Uthukela DM","Private Health","Female","280","120","400"
"National","kwazulu-natal","Uthukela DM","Private Health","Male","181","76","257"
"National","kwazulu-natal","Uthukela DM","Public Health","Female","15221","6865","22086"
"National","kwazulu-natal","Uthukela DM","Public Health","Male","10279","4028","14307"
"National","kwazulu-natal","Zululand DM","Private Health","Female","60","7","67"
"National","kwazulu-natal","Zululand DM","Private Health","Male","45","4","49"
"National","kwazulu-natal","Zululand DM","Public Health","Female","24065","12823","36888"
"National","kwazulu-natal","Zululand DM","Public Health","Male","17306","8118","25424"
"National","limpopo","Capricorn DM","Private Health","Female","2585","1389","3974"
"National","limpopo","Capricorn DM","Private Health","Male","2117","1044","3161"
"National","limpopo","Capricorn DM","Public Health","Female","34146","14005","48151"
"National","limpopo","Capricorn DM","Public Health","Male","29460","10543","40003"
"National","limpopo","Mopani DM","Private Health","Female","960","474","1434"
"National","limpopo","Mopani DM","Private Health","Male","841","397","1238"
"National","limpopo","Mopani DM","Public Health","Female","36249","12527","48776"
"National","limpopo","Mopani DM","Public Health","Male","29797","8971","38768"
"National","limpopo","Sekhukhune DM","Private Health","Female","880","461","1341"
"National","limpopo","Sekhukhune DM","Private Health","Male","885","359","1244"
"National","limpopo","Sekhukhune DM","Public Health","Female","25501","9581","35082"
"National","limpopo","Sekhukhune DM","Public Health","Male","24986","8084","33070"
"National","limpopo","Vhembe DM","Private Health","Female","5862","2483","8345"
"National","limpopo","Vhembe DM","Private Health","Male","4030","1461","5491"
"National","limpopo","Vhembe DM","Public Health","Female","32350","10263","42613"
"National","limpopo","Vhembe DM","Public Health","Male","26930","7338","34268"
"National","limpopo","Waterberg DM","Private Health","Female","1238","510","1748"
"National","limpopo","Waterberg DM","Private Health","Male","1123","435","1558"
"National","limpopo","Waterberg DM","Public Health","Female","16398","6467","22865"
"National","limpopo","Waterberg DM","Public Health","Male","13623","4735","18358"
"National","mpumalanga","Ehlanzeni DM","Private Health","Female","2019","944","2963"
"National","mpumalanga","Ehlanzeni DM","Private Health","Male","1718","841","2559"
"National","mpumalanga","Ehlanzeni DM","Public Health","Female","45928","18785","64713"
"National","mpumalanga","Ehlanzeni DM","Public Health","Male","34948","12140","47088"
"National","mpumalanga","G Sibande DM","Private Health","Female","698","270","968"
"National","mpumalanga","G Sibande DM","Private Health","Male","592","247","839"
"National","mpumalanga","G Sibande DM","Public Health","Female","15448","5983","21431"
"National","mpumalanga","G Sibande DM","Public Health","Male","11900","4047","15947"
"National","mpumalanga","Nkangala DM","Private Health","Female","1053","440","1493"
"National","mpumalanga","Nkangala DM","Private Health","Male","1007","396","1403"
"National","mpumalanga","Nkangala DM","Public Health","Female","16064","6165","22229"
"National","mpumalanga","Nkangala DM","Public Health","Male","16737","5148","21885"
"National","northern cape","Frances Baard DM","Private Health","Female","1234","619","1853"
"National","northern cape","Frances Baard DM","Private Health","Male","1176","505","1681"
"National","northern cape","Frances Baard DM","Public Health","Female","6384","3110","9494"
"National","northern cape","Frances Baard DM","Public Health","Male","5163","2316","7479"
"National","northern cape","J T Gaetsewe DM","Private Health","Female","315","196","511"
"National","northern cape","J T Gaetsewe DM","Private Health","Male","272","143","415"
"National","northern cape","J T Gaetsewe DM","Public Health","Female","3148","1121","4269"
"National","northern cape","J T Gaetsewe DM","Public Health","Male","2397","840","3237"
"National","northern cape","Namakwa DM","Private Health","Female","168","98","266"
"National","northern cape","Namakwa DM","Private Health","Male","152","71","223"
"National","northern cape","Namakwa DM","Public Health","Female","1548","569","2117"
