"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538246"
"kwazulu-natal","Private Health","1238202"
"western cape","Private Health","1924161"
"limpopo","Private Health","611328"
"northern cape","Public Health","614652"
"gauteng","Private Health","4585549"
"kwazulu-natal","Public Health","4691704"
"mpumalanga","","20"
"free state","Public Health","1875896"
"north west","Public Health","1798077"
"gauteng","Public Health","5875851"
"mpumalanga","Private Health","406893"
"mpumalanga","Public Health","1951849"
"western cape","","2"
"northern cape","Private Health","158410"
"eastern cape","Private Health","695356"
"western cape","Public Health","3699665"
"limpopo","Public Health","3177041"
"free state","Private Health","402011"
"eastern cape","Public Health","3595852"
