"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","301"
"eastern cape","Public Health","680"
"free state","Private Health","112"
"free state","Public Health","865"
"gauteng","Private Health","1732"
"gauteng","Public Health","1681"
"kwazulu-natal","Private Health","414"
"kwazulu-natal","Public Health","1456"
"limpopo","Private Health","303"
"limpopo","Public Health","611"
"mpumalanga","Private Health","234"
"mpumalanga","Public Health","1202"
"northern cape","Private Health","51"
"northern cape","Public Health","1032"
"north west","Private Health","177"
"north west","Public Health","384"
"western cape","Private Health","530"
"western cape","Public Health","766"
