"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10093","5031","15124"
"National","eastern cape","Private Health","Male","8555","3917","12472"
"National","eastern cape","Public Health","Female","150802","62265","213067"
"National","eastern cape","Public Health","Male","124931","45734","170665"
"National","free state","Private Health","Female","9073","4612","13685"
"National","free state","Private Health","Male","7501","3573","11074"
"National","free state","Public Health","Female","82922","40953","123875"
"National","free state","Public Health","Male","71105","30908","102013"
"National","gauteng","Private Health","Female","52355","29940","82295"
"National","gauteng","Private Health","Male","48121","25776","73897"
"National","gauteng","Public Health","Female","160177","65857","226034"
"National","gauteng","Public Health","Male","126915","48599","175514"
"National","kwazulu-natal","Private Health","Female","16522","9421","25943"
"National","kwazulu-natal","Private Health","Male","15058","8134","23192"
"National","kwazulu-natal","Public Health","Female","156419","72227","228646"
"National","kwazulu-natal","Public Health","Male","106765","44003","150768"
"National","limpopo","Private Health","Female","11746","5354","17100"
"National","limpopo","Private Health","Male","9115","3722","12837"
"National","limpopo","Public Health","Female","144667","51796","196463"
"National","limpopo","Public Health","Male","124946","38816","163762"
"National","mpumalanga","Private Health","Female","3863","1693","5556"
"National","mpumalanga","Private Health","Male","3387","1507","4894"
"National","mpumalanga","Public Health","Female","77467","29641","107108"
"National","mpumalanga","Public Health","Male","63719","20377","84096"
"National","northern cape","Private Health","Female","2081","1045","3126"
"National","northern cape","Private Health","Male","1911","814","2725"
"National","northern cape","Public Health","Female","18254","7534","25788"
"National","northern cape","Public Health","Male","14343","5540","19883"
"National","north west","Private Health","Female","5065","2395","7460"
"National","north west","Private Health","Male","4615","2021","6636"
"National","north west","Public Health","Female","77208","27818","105026"
"National","north west","Public Health","Male","64141","20426","84567"
"National","western cape","Private Health","Female","22817","12534","35351"
"National","western cape","Private Health","Male","20707","10869","31576"
"National","western cape","Public Health","Female","48340","16928","65268"
"National","western cape","Public Health","Male","40483","13915","54398"
