"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","920645"
"Janssen Vaccines & Prevention B.V","free state","Adults","488511"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1557517"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1251743"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1084241"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","834340"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","216688"
"Janssen Vaccines & Prevention B.V","north west","Adults","715839"
"Janssen Vaccines & Prevention B.V","western cape","Adults","754539"
"Pfizer","eastern cape","12-17 Years","116947"
"Pfizer","eastern cape","Adults","1139246"
"Pfizer","free state","12-17 Years","80046"
"Pfizer","free state","Adults","598978"
"Pfizer","gauteng","12-17 Years","170172"
"Pfizer","gauteng","Adults","3411391"
"Pfizer","kwazulu-natal","12-17 Years","133785"
"Pfizer","kwazulu-natal","Adults","1665895"
"Pfizer","limpopo","12-17 Years","99688"
"Pfizer","limpopo","Adults","884985"
"Pfizer","mpumalanga","12-17 Years","53218"
"Pfizer","mpumalanga","Adults","478681"
"Pfizer","northern cape","12-17 Years","14933"
"Pfizer","northern cape","Adults","195226"
"Pfizer","north west","12-17 Years","52660"
"Pfizer","north west","Adults","542598"
"Pfizer","western cape","12-17 Years","54246"
"Pfizer","western cape","Adults","1871782"
