"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","537128"
"kwazulu-natal","Private Health","1236825"
"western cape","Private Health","1922294"
"limpopo","Private Health","609099"
"northern cape","Public Health","608999"
"gauteng","Private Health","4574353"
"kwazulu-natal","Public Health","4664644"
"free state","Public Health","1865672"
"north west","Public Health","1786181"
"gauteng","Public Health","5838509"
"mpumalanga","Private Health","406395"
"mpumalanga","Public Health","1931205"
"northern cape","Private Health","158074"
"eastern cape","Private Health","694206"
"western cape","Public Health","3683623"
"limpopo","Public Health","3145943"
"free state","Private Health","400446"
"eastern cape","Public Health","3549441"
