"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","883798"
"Janssen Vaccines & Prevention B.V","free state","Adults","470764"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1465642"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1181832"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1044318"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","776421"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","207764"
"Janssen Vaccines & Prevention B.V","north west","Adults","690823"
"Janssen Vaccines & Prevention B.V","western cape","Adults","726979"
"Pfizer","eastern cape","12-17 Years","45427"
"Pfizer","eastern cape","Adults","1075399"
"Pfizer","free state","12-17 Years","54075"
"Pfizer","free state","Adults","564161"
"Pfizer","gauteng","12-17 Years","125076"
"Pfizer","gauteng","Adults","3252730"
"Pfizer","kwazulu-natal","12-17 Years","61946"
"Pfizer","kwazulu-natal","Adults","1554608"
"Pfizer","limpopo","12-17 Years","57217"
"Pfizer","limpopo","Adults","839779"
"Pfizer","mpumalanga","12-17 Years","27158"
"Pfizer","mpumalanga","Adults","445313"
"Pfizer","northern cape","12-17 Years","7288"
"Pfizer","northern cape","Adults","184241"
"Pfizer","north west","12-17 Years","34975"
"Pfizer","north west","Adults","514866"
"Pfizer","western cape","12-17 Years","47025"
"Pfizer","western cape","Adults","1815222"
