"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10704","4618","15322"
"National","eastern cape","Private Health","Male","8878","3501","12379"
"National","eastern cape","Public Health","Female","113730","22503","136233"
"National","eastern cape","Public Health","Male","91243","14805","106048"
"National","free state","Private Health","Female","8770","3701","12471"
"National","free state","Private Health","Male","7141","2843","9984"
"National","free state","Public Health","Female","75080","27652","102732"
"National","free state","Public Health","Male","63490","19879","83369"
"National","gauteng","Private Health","Female","54102","27206","81308"
"National","gauteng","Private Health","Male","48961","22832","71793"
"National","gauteng","Public Health","Female","143404","43176","186580"
"National","gauteng","Public Health","Male","112975","31862","144837"
"National","kwazulu-natal","Private Health","Female","17547","9055","26602"
"National","kwazulu-natal","Private Health","Male","15732","7641","23373"
"National","kwazulu-natal","Public Health","Female","115673","27820","143493"
"National","kwazulu-natal","Public Health","Male","78367","17430","95797"
"National","limpopo","Private Health","Female","10309","4232","14541"
"National","limpopo","Private Health","Male","8190","3045","11235"
"National","limpopo","Public Health","Female","110485","28423","138908"
"National","limpopo","Public Health","Male","92668","21517","114185"
"National","mpumalanga","Private Health","Female","4041","1531","5572"
"National","mpumalanga","Private Health","Male","3509","1309","4818"
"National","mpumalanga","Public Health","Female","60151","14101","74252"
"National","mpumalanga","Public Health","Male","50175","10217","60392"
"National","northern cape","Private Health","Female","2134","951","3085"
"National","northern cape","Private Health","Male","1914","695","2609"
"National","northern cape","Public Health","Female","10989","3210","14199"
"National","northern cape","Public Health","Male","8825","2432","11257"
"National","north west","Private Health","Female","5218","2181","7399"
"National","north west","Private Health","Male","4697","1844","6541"
"National","north west","Public Health","Female","70418","18028","88446"
"National","north west","Public Health","Male","58534","12922","71456"
"National","western cape","Private Health","Female","23613","11293","34906"
"National","western cape","Private Health","Male","20982","9525","30507"
"National","western cape","Public Health","Female","46624","14457","61081"
"National","western cape","Public Health","Male","38491","11750","50241"
