"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","502845"
"kwazulu-natal","Private Health","1169467"
"western cape","Private Health","1808579"
"limpopo","Private Health","559841"
"northern cape","Public Health","534913"
"gauteng","Private Health","4289479"
"kwazulu-natal","Public Health","4126555"
"free state","Public Health","1679368"
"north west","Public Health","1632752"
"gauteng","Public Health","5397639"
"mpumalanga","Private Health","378608"
"mpumalanga","Public Health","1674355"
"northern cape","Private Health","147609"
"eastern cape","Private Health","651516"
"western cape","Public Health","3501807"
"limpopo","Public Health","2815461"
"free state","Private Health","369076"
"eastern cape","Public Health","3120277"
