"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","507208"
"kwazulu-natal","Private Health","1176593"
"western cape","Private Health","1822506"
"limpopo","Private Health","565415"
"northern cape","Public Health","538550"
"gauteng","Private Health","4322104"
"kwazulu-natal","Public Health","4167017"
"free state","Public Health","1696986"
"north west","Public Health","1651911"
"gauteng","Public Health","5441908"
"mpumalanga","Private Health","381095"
"mpumalanga","Public Health","1697476"
"northern cape","Private Health","148859"
"eastern cape","Private Health","656217"
"western cape","Public Health","3518188"
"limpopo","Public Health","2840665"
"free state","Private Health","372600"
"eastern cape","Public Health","3154435"
