"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","887143"
"Janssen Vaccines & Prevention B.V","free state","Adults","472650"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1473385"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1186824"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1047458"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","781336"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","208373"
"Janssen Vaccines & Prevention B.V","north west","Adults","693642"
"Janssen Vaccines & Prevention B.V","western cape","Adults","729620"
"Pfizer","eastern cape","12-17 Years","51811"
"Pfizer","eastern cape","Adults","1079707"
"Pfizer","free state","12-17 Years","57304"
"Pfizer","free state","Adults","566896"
"Pfizer","gauteng","12-17 Years","131382"
"Pfizer","gauteng","Adults","3269737"
"Pfizer","kwazulu-natal","12-17 Years","69041"
"Pfizer","kwazulu-natal","Adults","1563191"
"Pfizer","limpopo","12-17 Years","60699"
"Pfizer","limpopo","Adults","843275"
"Pfizer","mpumalanga","12-17 Years","29502"
"Pfizer","mpumalanga","Adults","447721"
"Pfizer","northern cape","12-17 Years","7438"
"Pfizer","northern cape","Adults","184990"
"Pfizer","north west","12-17 Years","37918"
"Pfizer","north west","Adults","518071"
"Pfizer","western cape","12-17 Years","47587"
"Pfizer","western cape","Adults","1820654"
