"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","535792"
"kwazulu-natal","Private Health","1233805"
"western cape","Private Health","1917476"
"limpopo","Private Health","606236"
"northern cape","Public Health","605918"
"gauteng","Private Health","4559586"
"kwazulu-natal","Public Health","4642001"
"free state","Public Health","1855441"
"north west","Public Health","1780477"
"gauteng","Public Health","5814024"
"mpumalanga","Private Health","405585"
"mpumalanga","Public Health","1916092"
"northern cape","Private Health","157544"
"eastern cape","Private Health","692973"
"western cape","Public Health","3670435"
"limpopo","Public Health","3127938"
"free state","Private Health","399101"
"eastern cape","Public Health","3514145"
