"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","919025"
"Janssen Vaccines & Prevention B.V","free state","Adults","487754"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1550847"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1248141"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1081586"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","831525"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","216299"
"Janssen Vaccines & Prevention B.V","north west","Adults","714552"
"Janssen Vaccines & Prevention B.V","western cape","Adults","752400"
"Pfizer","eastern cape","12-17 Years","109327"
"Pfizer","eastern cape","Adults","1133180"
"Pfizer","free state","12-17 Years","79758"
"Pfizer","free state","Adults","595992"
"Pfizer","gauteng","12-17 Years","170565"
"Pfizer","gauteng","Adults","3400008"
"Pfizer","kwazulu-natal","12-17 Years","132508"
"Pfizer","kwazulu-natal","Adults","1658797"
"Pfizer","limpopo","12-17 Years","96961"
"Pfizer","limpopo","Adults","881624"
"Pfizer","mpumalanga","12-17 Years","50298"
"Pfizer","mpumalanga","Adults","476279"
"Pfizer","northern cape","12-17 Years","14305"
"Pfizer","northern cape","Adults","194531"
"Pfizer","north west","12-17 Years","52803"
"Pfizer","north west","Adults","540914"
"Pfizer","western cape","12-17 Years","53616"
"Pfizer","western cape","Adults","1867338"
