"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","858154","0","147208","1005362"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","463359","0","90944","554303"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1413293","0","202290","1615583"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1153636","0","176665","1330301"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1047399","0","146391","1193790"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","809605","0","124314","933919"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","206835","0","33863","240698"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","691075","0","110599","801674"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","657786","0","109559","767345"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60871","0","24221","85092"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24395","0","12199","36594"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137551","0","65384","202935"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94503","0","40024","134527"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34187","0","17016","51203"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21920","0","7151","29071"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9464","0","4455","13919"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23477","0","8965","32442"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94614","0","61527","156141"
"Pfizer","National","eastern cape","Adults","1345036","1133178","239654","2717868"
"Pfizer","National","eastern cape","12-17 Years","289469","109327","0","398796"
"Pfizer","National","free state","12-17 Years","171701","79758","0","251459"
"Pfizer","National","free state","Adults","677372","595992","138822","1412186"
"Pfizer","National","gauteng","12-17 Years","391128","170565","15","561708"
"Pfizer","National","gauteng","Adults","3921431","3399993","671960","7993384"
"Pfizer","National","kwazulu-natal","Adults","1991362","1658792","330891","3981045"
"Pfizer","National","kwazulu-natal","12-17 Years","297416","132508","9","429933"
"Pfizer","National","limpopo","Adults","1047281","881624","173122","2102027"
"Pfizer","National","limpopo","12-17 Years","290191","96961","2","387154"
"Pfizer","National","mpumalanga","12-17 Years","148115","50298","0","198413"
"Pfizer","National","mpumalanga","Adults","577045","476278","106951","1160274"
"Pfizer","National","northern cape","12-17 Years","36452","14305","0","50757"
"Pfizer","National","northern cape","Adults","227471","194531","36086","458088"
"Pfizer","National","north west","12-17 Years","152682","52803","4","205489"
"Pfizer","National","north west","Adults","624868","540912","110884","1276664"
"Pfizer","National","western cape","12-17 Years","132603","53616","2","186221"
"Pfizer","National","western cape","Adults","2125073","1867326","485805","4478204"
