"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","173"
"eastern cape","Public Health","2004"
"free state","Private Health","105"
"free state","Public Health","925"
"gauteng","Private Health","1223"
"gauteng","Public Health","1948"
"kwazulu-natal","Private Health","296"
"kwazulu-natal","Public Health","2071"
"limpopo","Private Health","242"
"limpopo","Public Health","1122"
"mpumalanga","Private Health","155"
"mpumalanga","Public Health","1494"
"northern cape","Private Health","43"
"northern cape","Public Health","611"
"north west","Private Health","114"
"north west","Public Health","672"
"western cape","Private Health","533"
"western cape","Public Health","800"
