"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","145"
"Janssen Vaccines & Prevention B.V","free state","Adults","88"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","447"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","295"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","152"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","352"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","87"
"Janssen Vaccines & Prevention B.V","north west","Adults","121"
"Janssen Vaccines & Prevention B.V","western cape","Adults","145"
"Pfizer","eastern cape","12-17 Years","87"
"Pfizer","eastern cape","Adults","451"
"Pfizer","free state","12-17 Years","63"
"Pfizer","free state","Adults","169"
"Pfizer","gauteng","12-17 Years","170"
"Pfizer","gauteng","Adults","735"
"Pfizer","kwazulu-natal","12-17 Years","126"
"Pfizer","kwazulu-natal","Adults","533"
"Pfizer","limpopo","12-17 Years","116"
"Pfizer","limpopo","Adults","220"
"Pfizer","mpumalanga","12-17 Years","50"
"Pfizer","mpumalanga","Adults","258"
"Pfizer","northern cape","12-17 Years","56"
"Pfizer","northern cape","Adults","109"
"Pfizer","north west","12-17 Years","28"
"Pfizer","north west","Adults","166"
"Pfizer","western cape","12-17 Years","56"
"Pfizer","western cape","Adults","272"
