"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","72","0","84","156"
"Janssen Vaccines & Prevention B.V","free state","Adults","29","0","42","71"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","358","0","181","539"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","141","0","87","228"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","255","0","279","534"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","117","0","87","204"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","30","0","24","54"
"Janssen Vaccines & Prevention B.V","north west","Adults","67","0","61","128"
"Janssen Vaccines & Prevention B.V","western cape","Adults","84","0","27","111"
"Pfizer","eastern cape","12-17 Years","391","352","0","743"
"Pfizer","eastern cape","Adults","172","233","235","640"
"Pfizer","free state","12-17 Years","13","12","0","25"
"Pfizer","free state","Adults","31","52","52","135"
"Pfizer","gauteng","12-17 Years","65","28","0","93"
"Pfizer","gauteng","Adults","283","257","283","823"
"Pfizer","kwazulu-natal","12-17 Years","29","31","0","60"
"Pfizer","kwazulu-natal","Adults","130","140","96","366"
"Pfizer","limpopo","12-17 Years","208","215","0","423"
"Pfizer","limpopo","Adults","103","122","133","358"
"Pfizer","mpumalanga","12-17 Years","105","169","0","274"
"Pfizer","mpumalanga","Adults","106","96","57","259"
"Pfizer","northern cape","12-17 Years","12","35","0","47"
"Pfizer","northern cape","Adults","30","28","30","88"
"Pfizer","north west","12-17 Years","6","8","0","14"
"Pfizer","north west","Adults","27","30","62","119"
"Pfizer","western cape","12-17 Years","53","139","0","192"
"Pfizer","western cape","Adults","82","99","85","266"
