"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","72"
"Janssen Vaccines & Prevention B.V","free state","Adults","29"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","358"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","141"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","255"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","117"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","30"
"Janssen Vaccines & Prevention B.V","north west","Adults","67"
"Janssen Vaccines & Prevention B.V","western cape","Adults","84"
"Pfizer","eastern cape","12-17 Years","352"
"Pfizer","eastern cape","Adults","233"
"Pfizer","free state","12-17 Years","12"
"Pfizer","free state","Adults","52"
"Pfizer","gauteng","12-17 Years","28"
"Pfizer","gauteng","Adults","257"
"Pfizer","kwazulu-natal","12-17 Years","31"
"Pfizer","kwazulu-natal","Adults","140"
"Pfizer","limpopo","12-17 Years","215"
"Pfizer","limpopo","Adults","122"
"Pfizer","mpumalanga","12-17 Years","169"
"Pfizer","mpumalanga","Adults","96"
"Pfizer","northern cape","12-17 Years","35"
"Pfizer","northern cape","Adults","28"
"Pfizer","north west","12-17 Years","8"
"Pfizer","north west","Adults","30"
"Pfizer","western cape","12-17 Years","139"
"Pfizer","western cape","Adults","99"
