"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","10"
"eastern cape","Public Health","1529"
"free state","Private Health","33"
"free state","Public Health","198"
"gauteng","Private Health","185"
"gauteng","Public Health","1270"
"kwazulu-natal","Private Health","20"
"kwazulu-natal","Public Health","634"
"limpopo","Private Health","49"
"limpopo","Public Health","1266"
"mpumalanga","Private Health","1"
"mpumalanga","Public Health","736"
"northern cape","Private Health","11"
"northern cape","Public Health","178"
"north west","Private Health","23"
"north west","Public Health","238"
"western cape","Private Health","28"
"western cape","Public Health","541"
