"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","178"
"eastern cape","Public Health","699"
"free state","Private Health","191"
"free state","Public Health","120"
"gauteng","Private Health","1749"
"gauteng","Public Health","1507"
"kwazulu-natal","Private Health","599"
"kwazulu-natal","Public Health","769"
"limpopo","Private Health","185"
"limpopo","Public Health","427"
"mpumalanga","Private Health","118"
"mpumalanga","Public Health","258"
"northern cape","Private Health","38"
"northern cape","Public Health","2"
"north west","Private Health","119"
"north west","Public Health","830"
"western cape","Private Health","680"
"western cape","Public Health","152"
