"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","123"
"Janssen Vaccines & Prevention B.V","free state","Adults","14"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","404"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","113"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","51"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","68"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","9"
"Janssen Vaccines & Prevention B.V","north west","Adults","186"
"Janssen Vaccines & Prevention B.V","western cape","Adults","66"
"Pfizer","eastern cape","12-17 Years","36"
"Pfizer","eastern cape","Adults","116"
"Pfizer","free state","12-17 Years","25"
"Pfizer","free state","Adults","36"
"Pfizer","gauteng","12-17 Years","192"
"Pfizer","gauteng","Adults","617"
"Pfizer","kwazulu-natal","12-17 Years","132"
"Pfizer","kwazulu-natal","Adults","294"
"Pfizer","limpopo","12-17 Years","57"
"Pfizer","limpopo","Adults","72"
"Pfizer","mpumalanga","12-17 Years","24"
"Pfizer","mpumalanga","Adults","58"
"Pfizer","northern cape","12-17 Years","5"
"Pfizer","northern cape","Adults","6"
"Pfizer","north west","12-17 Years","28"
"Pfizer","north west","Adults","128"
"Pfizer","western cape","12-17 Years","72"
"Pfizer","western cape","Adults","123"
