"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","949"
"eastern cape","Public Health","5892"
"free state","Private Health","797"
"free state","Public Health","3228"
"gauteng","Private Health","7116"
"gauteng","Public Health","8084"
"kwazulu-natal","Private Health","1400"
"kwazulu-natal","Public Health","5708"
"limpopo","Private Health","966"
"limpopo","Public Health","5110"
"mpumalanga","Private Health","574"
"mpumalanga","Public Health","3772"
"northern cape","Private Health","210"
"northern cape","Public Health","751"
"north west","Private Health","884"
"north west","Public Health","2322"
"western cape","Private Health","2920"
"western cape","Public Health","3697"
