"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","563"
"Janssen Vaccines & Prevention B.V","free state","Adults","340"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1350"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","731"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","655"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","743"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","142"
"Janssen Vaccines & Prevention B.V","north west","Adults","382"
"Janssen Vaccines & Prevention B.V","western cape","Adults","479"
"Pfizer","eastern cape","12-17 Years","898"
"Pfizer","eastern cape","Adults","586"
"Pfizer","free state","12-17 Years","657"
"Pfizer","free state","Adults","468"
"Pfizer","gauteng","12-17 Years","1434"
"Pfizer","gauteng","Adults","2681"
"Pfizer","kwazulu-natal","12-17 Years","790"
"Pfizer","kwazulu-natal","Adults","1167"
"Pfizer","limpopo","12-17 Years","770"
"Pfizer","limpopo","Adults","667"
"Pfizer","mpumalanga","12-17 Years","486"
"Pfizer","mpumalanga","Adults","372"
"Pfizer","northern cape","12-17 Years","34"
"Pfizer","northern cape","Adults","93"
"Pfizer","north west","12-17 Years","443"
"Pfizer","north west","Adults","371"
"Pfizer","western cape","12-17 Years","290"
"Pfizer","western cape","Adults","874"
