"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","90"
"eastern cape","Public Health","1530"
"free state","Private Health","31"
"free state","Public Health","507"
"gauteng","Private Health","671"
"gauteng","Public Health","1102"
"kwazulu-natal","Private Health","139"
"kwazulu-natal","Public Health","1109"
"limpopo","Private Health","175"
"limpopo","Public Health","902"
"mpumalanga","Private Health","45"
"mpumalanga","Public Health","787"
"northern cape","Private Health","28"
"northern cape","Public Health","148"
"north west","Private Health","61"
"north west","Public Health","176"
"western cape","Private Health","199"
"western cape","Public Health","856"
