"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538783"
"kwazulu-natal","Private Health","1238942"
"western cape","Private Health","1925017"
"limpopo","Private Health","612555"
"northern cape","Public Health","619413"
"gauteng","Private Health","4591543"
"kwazulu-natal","Public Health","4706472"
"mpumalanga","","23"
"free state","Public Health","1881176"
"north west","Public Health","1808467"
"gauteng","Public Health","5905812"
"mpumalanga","Private Health","407011"
"mpumalanga","Public Health","1963041"
"western cape","","3"
"northern cape","Private Health","158538"
"eastern cape","Private Health","695670"
"western cape","Public Health","3711799"
"limpopo","Public Health","3196208"
"limpopo","","2"
"free state","Private Health","402841"
"eastern cape","Public Health","3630559"
