"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","926142"
"eastern cape","Pfizer","1372597"
"free state","Johnson & Johnson","489687"
"free state","Pfizer","688171"
"gauteng","Johnson & Johnson","1577100"
"gauteng","Pfizer","3962202"
"kwazulu-natal","Johnson & Johnson","1260949"
"kwazulu-natal","Pfizer","2018435"
"limpopo","Johnson & Johnson","1092321"
"limpopo","Pfizer","1067437"
"mpumalanga","Johnson & Johnson","840943"
"mpumalanga","Pfizer","589214"
"northern cape","Johnson & Johnson","218442"
"northern cape","Pfizer","231027"
"north west","Johnson & Johnson","720159"
"north west","Pfizer","634813"
"western cape","Johnson & Johnson","759783"
"western cape","Pfizer","2140661"
