"vaccine_manufacturer","province","district","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Amathole DM","Adults","103318"
"Janssen Vaccines & Prevention B.V","eastern cape","A Nzo DM","Adults","120245"
"Janssen Vaccines & Prevention B.V","eastern cape","Buffalo City MM","Adults","72307"
"Janssen Vaccines & Prevention B.V","eastern cape","C Hani DM","Adults","108174"
"Janssen Vaccines & Prevention B.V","eastern cape","Joe Gqabi DM","Adults","51526"
"Janssen Vaccines & Prevention B.V","eastern cape","N Mandela Bay MM","Adults","166395"
"Janssen Vaccines & Prevention B.V","eastern cape","O Tambo DM","Adults","212969"
"Janssen Vaccines & Prevention B.V","eastern cape","Sarah Baartman DM","Adults","91093"
"Janssen Vaccines & Prevention B.V","free state","Fezile Dabi DM","Adults","81408"
"Janssen Vaccines & Prevention B.V","free state","Lejweleputswa DM","Adults","76150"
"Janssen Vaccines & Prevention B.V","free state","Mangaung MM","Adults","153750"
"Janssen Vaccines & Prevention B.V","free state","T Mofutsanyana DM","Adults","144904"
"Janssen Vaccines & Prevention B.V","free state","Xhariep DM","Adults","33455"
"Janssen Vaccines & Prevention B.V","gauteng","Ekurhuleni MM","Adults","330769"
"Janssen Vaccines & Prevention B.V","gauteng","Johannesburg MM","Adults","564353"
"Janssen Vaccines & Prevention B.V","gauteng","Sedibeng DM","Adults","103051"
"Janssen Vaccines & Prevention B.V","gauteng","Tshwane MM","Adults","470354"
"Janssen Vaccines & Prevention B.V","gauteng","West Rand DM","Adults","108306"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Amajuba DM","Adults","80282"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","eThekwini MM","Adults","347279"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Harry Gwala DM","Adults","58865"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","iLembe DM","Adults","64223"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","King Cetshwayo DM","Adults","102971"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Ugu DM","Adults","67881"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","uMgungundlovu DM","Adults","142492"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Umkhanyakude DM","Adults","102970"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Umzinyathi DM","Adults","97700"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Uthukela DM","Adults","97197"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Zululand DM","Adults","98969"
"Janssen Vaccines & Prevention B.V","limpopo","Capricorn DM","Adults","275815"
"Janssen Vaccines & Prevention B.V","limpopo","Mopani DM","Adults","246034"
"Janssen Vaccines & Prevention B.V","limpopo","Sekhukhune DM","Adults","187505"
"Janssen Vaccines & Prevention B.V","limpopo","Vhembe DM","Adults","245637"
"Janssen Vaccines & Prevention B.V","limpopo","Waterberg DM","Adults","137186"
"Janssen Vaccines & Prevention B.V","mpumalanga","Ehlanzeni DM","Adults","417965"
"Janssen Vaccines & Prevention B.V","mpumalanga","G Sibande DM","Adults","189880"
"Janssen Vaccines & Prevention B.V","mpumalanga","Nkangala DM","Adults","233021"
"Janssen Vaccines & Prevention B.V","northern cape","Frances Baard DM","Adults","72052"
"Janssen Vaccines & Prevention B.V","northern cape","J T Gaetsewe DM","Adults","41983"
"Janssen Vaccines & Prevention B.V","northern cape","Namakwa DM","Adults","16386"
"Janssen Vaccines & Prevention B.V","northern cape","Pixley ka Seme DM","Adults","28301"
"Janssen Vaccines & Prevention B.V","northern cape","ZF Mgcawu DM","Adults","59707"
"Janssen Vaccines & Prevention B.V","north west","Bojanala Platinum DM","Adults","298524"
"Janssen Vaccines & Prevention B.V","north west","Dr K Kaunda DM","Adults","109542"
"Janssen Vaccines & Prevention B.V","north west","Ngaka Modiri Molema DM","Adults","201376"
"Janssen Vaccines & Prevention B.V","north west","Ruth Segomotsi Mompati DM","Adults","110667"
"Janssen Vaccines & Prevention B.V","western cape","Cape Town MM","Adults","436409"
"Janssen Vaccines & Prevention B.V","western cape","Cape Winelands DM","Adults","121776"
