"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","537892"
"kwazulu-natal","Private Health","1237890"
"western cape","Private Health","1923821"
"limpopo","Private Health","610851"
"northern cape","Public Health","612564"
"gauteng","Private Health","4582425"
"kwazulu-natal","Public Health","4683047"
"mpumalanga","","19"
"free state","Public Health","1872617"
"north west","Public Health","1793723"
"gauteng","Public Health","5863043"
"mpumalanga","Private Health","406841"
"mpumalanga","Public Health","1944572"
"western cape","","1"
"northern cape","Private Health","158327"
"eastern cape","Private Health","695132"
"western cape","Public Health","3693992"
"limpopo","Public Health","3167217"
"free state","Private Health","401659"
"eastern cape","Public Health","3581304"
