"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10594","5106","15700"
"National","eastern cape","Private Health","Male","8917","3935","12852"
"National","eastern cape","Public Health","Female","144387","50476","194863"
"National","eastern cape","Public Health","Male","118289","35245","153534"
"National","free state","Private Health","Female","9209","4537","13746"
"National","free state","Private Health","Male","7541","3449","10990"
"National","free state","Public Health","Female","84074","39555","123629"
"National","free state","Public Health","Male","71824","29559","101383"
"National","gauteng","Private Health","Female","53887","29917","83804"
"National","gauteng","Private Health","Male","49485","25604","75089"
"National","gauteng","Public Health","Female","163889","65215","229104"
"National","gauteng","Public Health","Male","129322","47706","177028"
"National","kwazulu-natal","Private Health","Female","17335","9677","27012"
"National","kwazulu-natal","Private Health","Male","15669","8230","23899"
"National","kwazulu-natal","Public Health","Female","155837","62970","218807"
"National","kwazulu-natal","Public Health","Male","106095","38446","144541"
"National","limpopo","Private Health","Female","11867","5126","16993"
"National","limpopo","Private Health","Male","9225","3574","12799"
"National","limpopo","Public Health","Female","141274","47019","188293"
"National","limpopo","Public Health","Male","122642","35184","157826"
"National","mpumalanga","Private Health","Female","4046","1710","5756"
"National","mpumalanga","Private Health","Male","3528","1490","5018"
"National","mpumalanga","Public Health","Female","75480","25187","100667"
"National","mpumalanga","Public Health","Male","62718","17567","80285"
"National","northern cape","Private Health","Female","2146","1057","3203"
"National","northern cape","Private Health","Male","1978","797","2775"
"National","northern cape","Public Health","Female","16968","5441","22409"
"National","northern cape","Public Health","Male","13285","4024","17309"
"National","north west","Private Health","Female","5279","2436","7715"
"National","north west","Private Health","Male","4757","2027","6784"
"National","north west","Public Health","Female","79232","27791","107023"
"National","north west","Public Health","Male","65577","19995","85572"
"National","western cape","Private Health","Female","23713","12557","36270"
"National","western cape","Private Health","Male","21337","10867","32204"
"National","western cape","Public Health","Female","47359","15769","63128"
"National","western cape","Public Health","Male","39393","12876","52269"
