"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","911911"
"Janssen Vaccines & Prevention B.V","free state","Adults","484501"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1529619"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1229690"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1074462"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","815938"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","213469"
"Janssen Vaccines & Prevention B.V","north west","Adults","710219"
"Janssen Vaccines & Prevention B.V","western cape","Adults","746259"
"Pfizer","eastern cape","12-17 Years","94762"
"Pfizer","eastern cape","Adults","1114097"
"Pfizer","free state","12-17 Years","77100"
"Pfizer","free state","Adults","585888"
"Pfizer","gauteng","12-17 Years","168442"
"Pfizer","gauteng","Adults","3362915"
"Pfizer","kwazulu-natal","12-17 Years","119323"
"Pfizer","kwazulu-natal","Adults","1628456"
"Pfizer","limpopo","12-17 Years","90903"
"Pfizer","limpopo","Adults","870093"
"Pfizer","mpumalanga","12-17 Years","45954"
"Pfizer","mpumalanga","Adults","465382"
"Pfizer","northern cape","12-17 Years","11319"
"Pfizer","northern cape","Adults","190900"
"Pfizer","north west","12-17 Years","52249"
"Pfizer","north west","Adults","535154"
"Pfizer","western cape","12-17 Years","52069"
"Pfizer","western cape","Adults","1852998"
