"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","530779"
"kwazulu-natal","Private Health","1220145"
"western cape","Private Health","1895478"
"limpopo","Private Health","594219"
"northern cape","Public Health","582545"
"gauteng","Private Health","4499426"
"kwazulu-natal","Public Health","4524531"
"free state","Public Health","1815786"
"north west","Public Health","1757673"
"gauteng","Public Health","5736921"
"mpumalanga","Private Health","397021"
"mpumalanga","Public Health","1850566"
"northern cape","Private Health","155529"
"eastern cape","Private Health","682527"
"western cape","Public Health","3629685"
"limpopo","Public Health","3074170"
"free state","Private Health","393870"
"eastern cape","Public Health","3419245"
