"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10461","5117","15578"
"National","eastern cape","Private Health","Male","8858","3975","12833"
"National","eastern cape","Public Health","Female","143986","51313","195299"
"National","eastern cape","Public Health","Male","118144","36051","154195"
"National","free state","Private Health","Female","9148","4604","13752"
"National","free state","Private Health","Male","7499","3494","10993"
"National","free state","Public Health","Female","83650","39877","123527"
"National","free state","Public Health","Male","71528","29847","101375"
"National","gauteng","Private Health","Female","53666","30331","83997"
"National","gauteng","Private Health","Male","49278","25988","75266"
"National","gauteng","Public Health","Female","163119","65726","228845"
"National","gauteng","Public Health","Male","128911","48230","177141"
"National","kwazulu-natal","Private Health","Female","17139","9694","26833"
"National","kwazulu-natal","Private Health","Male","15513","8258","23771"
"National","kwazulu-natal","Public Health","Female","156349","65003","221352"
"National","kwazulu-natal","Public Health","Male","106462","39462","145924"
"National","limpopo","Private Health","Female","11797","5180","16977"
"National","limpopo","Private Health","Male","9197","3626","12823"
"National","limpopo","Public Health","Female","141018","47758","188776"
"National","limpopo","Public Health","Male","122476","35757","158233"
"National","mpumalanga","Private Health","Female","4013","1728","5741"
"National","mpumalanga","Private Health","Male","3501","1524","5025"
"National","mpumalanga","Public Health","Female","75538","25657","101195"
"National","mpumalanga","Public Health","Male","62753","17883","80636"
"National","northern cape","Private Health","Female","2134","1066","3200"
"National","northern cape","Private Health","Male","1954","813","2767"
"National","northern cape","Public Health","Female","17227","5943","23170"
"National","northern cape","Public Health","Male","13498","4361","17859"
"National","north west","Private Health","Female","5232","2438","7670"
"National","north west","Private Health","Male","4741","2046","6787"
"National","north west","Public Health","Female","78888","27960","106848"
"National","north west","Public Health","Male","65361","20261","85622"
"National","western cape","Private Health","Female","23601","12749","36350"
"National","western cape","Private Health","Male","21242","10996","32238"
"National","western cape","Public Health","Female","46965","15904","62869"
"National","western cape","Public Health","Male","39237","13037","52274"
