"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","533445"
"kwazulu-natal","Private Health","1227550"
"western cape","Private Health","1907487"
"limpopo","Private Health","599023"
"northern cape","Public Health","597445"
"gauteng","Private Health","4532132"
"kwazulu-natal","Public Health","4581362"
"free state","Public Health","1836228"
"north west","Public Health","1771459"
"gauteng","Public Health","5776934"
"mpumalanga","Private Health","402093"
"mpumalanga","Public Health","1884816"
"northern cape","Private Health","156497"
"eastern cape","Private Health","687604"
"western cape","Public Health","3649490"
"limpopo","Public Health","3096073"
"free state","Private Health","396345"
"eastern cape","Public Health","3459478"
