"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","69","0","170","239"
"Janssen Vaccines & Prevention B.V","free state","Adults","42","0","102","144"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","313","0","213","526"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","350","0","205","555"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","103","0","182","285"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","375","0","524","899"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","101","0","225","326"
"Janssen Vaccines & Prevention B.V","north west","Adults","80","0","93","173"
"Janssen Vaccines & Prevention B.V","western cape","Adults","103","0","76","179"
"Pfizer","eastern cape","12-17 Years","167","201","0","368"
"Pfizer","eastern cape","Adults","110","189","203","502"
"Pfizer","free state","12-17 Years","68","80","0","148"
"Pfizer","free state","Adults","65","102","137","304"
"Pfizer","gauteng","12-17 Years","93","158","0","251"
"Pfizer","gauteng","Adults","297","473","532","1302"
"Pfizer","kwazulu-natal","12-17 Years","136","304","0","440"
"Pfizer","kwazulu-natal","Adults","242","294","288","824"
"Pfizer","limpopo","12-17 Years","387","262","0","649"
"Pfizer","limpopo","Adults","74","285","259","618"
"Pfizer","mpumalanga","12-17 Years","249","137","0","386"
"Pfizer","mpumalanga","Adults","177","265","465","907"
"Pfizer","northern cape","12-17 Years","171","225","0","396"
"Pfizer","northern cape","Adults","75","89","66","230"
"Pfizer","north west","12-17 Years","28","41","0","69"
"Pfizer","north west","Adults","34","67","65","166"
"Pfizer","western cape","12-17 Years","54","80","0","134"
"Pfizer","western cape","Adults","131","160","260","551"
