"vaccine_rollout_phase","province","district","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Amathole DM","Private Health","Female","154","36","190"
"National","eastern cape","Amathole DM","Private Health","Male","91","18","109"
"National","eastern cape","Amathole DM","Public Health","Female","14365","5555","19920"
"National","eastern cape","Amathole DM","Public Health","Male","12365","4562","16927"
"National","eastern cape","A Nzo DM","Public Health","Female","32561","17597","50158"
"National","eastern cape","A Nzo DM","Public Health","Male","28913","13744","42657"
"National","eastern cape","Buffalo City MM","Private Health","Female","2753","1130","3883"
"National","eastern cape","Buffalo City MM","Private Health","Male","2251","870","3121"
"National","eastern cape","Buffalo City MM","Public Health","Female","16293","9454","25747"
"National","eastern cape","Buffalo City MM","Public Health","Male","12951","6702","19653"
"National","eastern cape","C Hani DM","Private Health","Female","216","104","320"
"National","eastern cape","C Hani DM","Private Health","Male","153","73","226"
"National","eastern cape","C Hani DM","Public Health","Female","13540","3565","17105"
"National","eastern cape","C Hani DM","Public Health","Male","10921","2611","13532"
"National","eastern cape","Joe Gqabi DM","Private Health","Female","640","357","997"
"National","eastern cape","Joe Gqabi DM","Private Health","Male","479","214","693"
"National","eastern cape","Joe Gqabi DM","Public Health","Female","7726","2694","10420"
"National","eastern cape","Joe Gqabi DM","Public Health","Male","6879","2173","9052"
"National","eastern cape","N Mandela Bay MM","Private Health","Female","3954","1997","5951"
"National","eastern cape","N Mandela Bay MM","Private Health","Male","3589","1675","5264"
"National","eastern cape","N Mandela Bay MM","Public Health","Female","15590","6427","22017"
"National","eastern cape","N Mandela Bay MM","Public Health","Male","12169","4571","16740"
"National","eastern cape","O Tambo DM","Private Health","Female","300","115","415"
"National","eastern cape","O Tambo DM","Private Health","Male","237","111","348"
"National","eastern cape","O Tambo DM","Public Health","Female","43289","17029","60318"
"National","eastern cape","O Tambo DM","Public Health","Male","36499","12779","49278"
"National","eastern cape","Sarah Baartman DM","Private Health","Female","1523","1057","2580"
"National","eastern cape","Sarah Baartman DM","Private Health","Male","1332","799","2131"
"National","eastern cape","Sarah Baartman DM","Public Health","Female","9483","5315","14798"
"National","eastern cape","Sarah Baartman DM","Public Health","Male","7978","3980","11958"
"National","free state","Fezile Dabi DM","Private Health","Female","467","338","805"
"National","free state","Fezile Dabi DM","Private Health","Male","434","274","708"
"National","free state","Fezile Dabi DM","Public Health","Female","12953","4974","17927"
"National","free state","Fezile Dabi DM","Public Health","Male","10645","3609","14254"
"National","free state","Lejweleputswa DM","Private Health","Female","3651","1411","5062"
"National","free state","Lejweleputswa DM","Private Health","Male","2931","1069","4000"
"National","free state","Lejweleputswa DM","Public Health","Female","13832","5214","19046"
"National","free state","Lejweleputswa DM","Public Health","Male","11883","3698","15581"
"National","free state","Mangaung MM","Private Health","Female","2907","1986","4893"
"National","free state","Mangaung MM","Private Health","Male","2396","1512","3908"
"National","free state","Mangaung MM","Public Health","Female","22990","13693","36683"
"National","free state","Mangaung MM","Public Health","Male","20593","11091","31684"
"National","free state","T Mofutsanyana DM","Private Health","Female","1790","1097","2887"
"National","free state","T Mofutsanyana DM","Private Health","Male","1550","897","2447"
"National","free state","T Mofutsanyana DM","Public Health","Female","26308","15233","41541"
"National","free state","T Mofutsanyana DM","Public Health","Male","22638","11534","34172"
"National","free state","Xhariep DM","Public Health","Female","4164","1178","5342"
"National","free state","Xhariep DM","Public Health","Male","3418","803","4221"
"National","gauteng","Ekurhuleni MM","Private Health","Female","10508","6418","16926"
"National","gauteng","Ekurhuleni MM","Private Health","Male","9718","5514","15232"
"National","gauteng","Ekurhuleni MM","Public Health","Female","40095","15124","55219"
"National","gauteng","Ekurhuleni MM","Public Health","Male","31872","11113","42985"
"National","gauteng","Johannesburg MM","Private Health","Female","24736","13398","38134"
"National","gauteng","Johannesburg MM","Private Health","Male","22650","11692","34342"
"National","gauteng","Johannesburg MM","Public Health","Female","45494","16645","62139"
