"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Public Health","61"
"free state","Public Health","1"
"gauteng","Private Health","21"
"gauteng","Public Health","117"
"kwazulu-natal","Private Health","2"
"kwazulu-natal","Public Health","30"
"limpopo","Private Health","23"
"limpopo","Public Health","12"
"mpumalanga","Public Health","28"
"north west","Private Health","8"
"north west","Public Health","51"
"western cape","Private Health","1"
"western cape","Public Health","12"
