"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","32"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","10"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","4"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","17"
"Janssen Vaccines & Prevention B.V","north west","Adults","9"
"Janssen Vaccines & Prevention B.V","western cape","Adults","2"
"Pfizer","eastern cape","12-17 Years","1"
"Pfizer","eastern cape","Adults","14"
"Pfizer","free state","Adults","1"
"Pfizer","gauteng","12-17 Years","6"
"Pfizer","gauteng","Adults","24"
"Pfizer","kwazulu-natal","Adults","4"
"Pfizer","limpopo","12-17 Years","1"
"Pfizer","limpopo","Adults","15"
"Pfizer","mpumalanga","Adults","8"
"Pfizer","north west","12-17 Years","0"
"Pfizer","north west","Adults","11"
"Pfizer","western cape","12-17 Years","0"
"Pfizer","western cape","Adults","2"
