"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","422"
"eastern cape","Public Health","5416"
"free state","Private Health","298"
"free state","Public Health","2624"
"gauteng","Private Health","2411"
"gauteng","Public Health","5222"
"kwazulu-natal","Private Health","647"
"kwazulu-natal","Public Health","5164"
"limpopo","Private Health","609"
"limpopo","Public Health","5911"
"mpumalanga","Private Health","227"
"mpumalanga","Public Health","4222"
"northern cape","Private Health","134"
"northern cape","Public Health","868"
"north west","Private Health","273"
"north west","Public Health","1599"
"western cape","Private Health","812"
"western cape","Public Health","2107"
