"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","458"
"Janssen Vaccines & Prevention B.V","free state","Adults","214"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1029"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","604"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","569"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","868"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","144"
"Janssen Vaccines & Prevention B.V","north west","Adults","273"
"Janssen Vaccines & Prevention B.V","western cape","Adults","354"
"Pfizer","eastern cape","12-17 Years","1280"
"Pfizer","eastern cape","Adults","671"
"Pfizer","free state","12-17 Years","528"
"Pfizer","free state","Adults","359"
"Pfizer","gauteng","12-17 Years","644"
"Pfizer","gauteng","Adults","1459"
"Pfizer","kwazulu-natal","12-17 Years","506"
"Pfizer","kwazulu-natal","Adults","990"
"Pfizer","limpopo","12-17 Years","846"
"Pfizer","limpopo","Adults","549"
"Pfizer","mpumalanga","12-17 Years","491"
"Pfizer","mpumalanga","Adults","346"
"Pfizer","northern cape","12-17 Years","73"
"Pfizer","northern cape","Adults","110"
"Pfizer","north west","12-17 Years","218"
"Pfizer","north west","Adults","228"
"Pfizer","western cape","12-17 Years","70"
"Pfizer","western cape","Adults","462"
