"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","47"
"Janssen Vaccines & Prevention B.V","free state","Adults","27"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","245"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","110"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","120"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","96"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","37"
"Janssen Vaccines & Prevention B.V","north west","Adults","75"
"Janssen Vaccines & Prevention B.V","western cape","Adults","78"
"Pfizer","eastern cape","12-17 Years","101"
"Pfizer","eastern cape","Adults","67"
"Pfizer","free state","12-17 Years","57"
"Pfizer","free state","Adults","76"
"Pfizer","gauteng","12-17 Years","48"
"Pfizer","gauteng","Adults","246"
"Pfizer","kwazulu-natal","12-17 Years","117"
"Pfizer","kwazulu-natal","Adults","130"
"Pfizer","limpopo","12-17 Years","88"
"Pfizer","limpopo","Adults","97"
"Pfizer","mpumalanga","12-17 Years","233"
"Pfizer","mpumalanga","Adults","36"
"Pfizer","northern cape","12-17 Years","6"
"Pfizer","northern cape","Adults","15"
"Pfizer","north west","12-17 Years","8"
"Pfizer","north west","Adults","52"
"Pfizer","western cape","12-17 Years","137"
"Pfizer","western cape","Adults","81"
