"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","29"
"eastern cape","Public Health","528"
"free state","Private Health","47"
"free state","Public Health","446"
"gauteng","Private Health","259"
"gauteng","Public Health","959"
"kwazulu-natal","Private Health","26"
"kwazulu-natal","Public Health","726"
"limpopo","Private Health","89"
"limpopo","Public Health","666"
"mpumalanga","Private Health","5"
"mpumalanga","Public Health","585"
"northern cape","Private Health","16"
"northern cape","Public Health","159"
"north west","Private Health","40"
"north west","Public Health","294"
"western cape","Private Health","68"
"western cape","Public Health","588"
