"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","450"
"eastern cape","Public Health","5459"
"free state","Private Health","268"
"free state","Public Health","2331"
"gauteng","Private Health","2695"
"gauteng","Public Health","5382"
"kwazulu-natal","Private Health","764"
"kwazulu-natal","Public Health","5275"
"limpopo","Private Health","521"
"limpopo","Public Health","5281"
"mpumalanga","Private Health","301"
"mpumalanga","Public Health","3607"
"northern cape","Private Health","121"
"northern cape","Public Health","849"
"north west","Private Health","315"
"north west","Public Health","1694"
"western cape","Private Health","1051"
"western cape","Public Health","2221"
