"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","376"
"Janssen Vaccines & Prevention B.V","free state","Adults","208"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","993"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","644"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","527"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","729"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","77"
"Janssen Vaccines & Prevention B.V","north west","Adults","292"
"Janssen Vaccines & Prevention B.V","western cape","Adults","365"
"Pfizer","eastern cape","12-17 Years","1060"
"Pfizer","eastern cape","Adults","677"
"Pfizer","free state","12-17 Years","348"
"Pfizer","free state","Adults","333"
"Pfizer","gauteng","12-17 Years","852"
"Pfizer","gauteng","Adults","1555"
"Pfizer","kwazulu-natal","12-17 Years","763"
"Pfizer","kwazulu-natal","Adults","1045"
"Pfizer","limpopo","12-17 Years","793"
"Pfizer","limpopo","Adults","551"
"Pfizer","mpumalanga","12-17 Years","601"
"Pfizer","mpumalanga","Adults","288"
"Pfizer","northern cape","12-17 Years","77"
"Pfizer","northern cape","Adults","91"
"Pfizer","north west","12-17 Years","331"
"Pfizer","north west","Adults","197"
"Pfizer","western cape","12-17 Years","72"
"Pfizer","western cape","Adults","488"
