"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","334"
"Janssen Vaccines & Prevention B.V","free state","Adults","145"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","641"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","364"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","157"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","401"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","83"
"Janssen Vaccines & Prevention B.V","north west","Adults","176"
"Janssen Vaccines & Prevention B.V","western cape","Adults","171"
"Pfizer","eastern cape","12-17 Years","125"
"Pfizer","eastern cape","Adults","516"
"Pfizer","free state","12-17 Years","115"
"Pfizer","free state","Adults","301"
"Pfizer","gauteng","12-17 Years","247"
"Pfizer","gauteng","Adults","1056"
"Pfizer","kwazulu-natal","12-17 Years","195"
"Pfizer","kwazulu-natal","Adults","723"
"Pfizer","limpopo","12-17 Years","129"
"Pfizer","limpopo","Adults","274"
"Pfizer","mpumalanga","12-17 Years","58"
"Pfizer","mpumalanga","Adults","248"
"Pfizer","northern cape","12-17 Years","35"
"Pfizer","northern cape","Adults","149"
"Pfizer","north west","12-17 Years","49"
"Pfizer","north west","Adults","162"
"Pfizer","western cape","12-17 Years","73"
"Pfizer","western cape","Adults","319"
