"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","79"
"eastern cape","Public Health","528"
"free state","Private Health","2"
"free state","Public Health","619"
"gauteng","Private Health","438"
"gauteng","Public Health","1136"
"kwazulu-natal","Private Health","101"
"kwazulu-natal","Public Health","1068"
"limpopo","Private Health","241"
"limpopo","Public Health","782"
"mpumalanga","Private Health","34"
"mpumalanga","Public Health","638"
"northern cape","Private Health","20"
"northern cape","Public Health","142"
"north west","Private Health","55"
"north west","Public Health","174"
"western cape","Private Health","207"
"western cape","Public Health","538"
