"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","96"
"eastern cape","Public Health","2859"
"free state","Private Health","38"
"free state","Public Health","1075"
"gauteng","Private Health","778"
"gauteng","Public Health","1471"
"kwazulu-natal","Private Health","211"
"kwazulu-natal","Public Health","2511"
"limpopo","Private Health","177"
"limpopo","Public Health","1217"
"mpumalanga","Private Health","173"
"mpumalanga","Public Health","1795"
"northern cape","Private Health","40"
"northern cape","Public Health","1095"
"north west","Private Health","91"
"north west","Public Health","651"
"western cape","Private Health","405"
"western cape","Public Health","1001"
