"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","164"
"Janssen Vaccines & Prevention B.V","free state","Adults","89"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","298"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","475"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","169"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","412"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","73"
"Janssen Vaccines & Prevention B.V","north west","Adults","98"
"Janssen Vaccines & Prevention B.V","western cape","Adults","108"
"Pfizer","eastern cape","12-17 Years","541"
"Pfizer","eastern cape","Adults","421"
"Pfizer","free state","12-17 Years","67"
"Pfizer","free state","Adults","216"
"Pfizer","gauteng","12-17 Years","78"
"Pfizer","gauteng","Adults","519"
"Pfizer","kwazulu-natal","12-17 Years","426"
"Pfizer","kwazulu-natal","Adults","481"
"Pfizer","limpopo","12-17 Years","191"
"Pfizer","limpopo","Adults","178"
"Pfizer","mpumalanga","12-17 Years","184"
"Pfizer","mpumalanga","Adults","256"
"Pfizer","northern cape","12-17 Years","254"
"Pfizer","northern cape","Adults","130"
"Pfizer","north west","12-17 Years","77"
"Pfizer","north west","Adults","100"
"Pfizer","western cape","12-17 Years","103"
"Pfizer","western cape","Adults","204"
