"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","522340"
"kwazulu-natal","Private Health","1202586"
"western cape","Private Health","1866358"
"limpopo","Private Health","581754"
"northern cape","Public Health","559350"
"gauteng","Private Health","4427215"
"kwazulu-natal","Public Health","4350241"
"free state","Public Health","1762325"
"north west","Public Health","1710559"
"gauteng","Public Health","5604778"
"mpumalanga","Private Health","389577"
"mpumalanga","Public Health","1772467"
"northern cape","Private Health","152827"
"eastern cape","Private Health","672029"
"western cape","Public Health","3577579"
"limpopo","Public Health","2958217"
"free state","Private Health","384973"
"eastern cape","Public Health","3298899"
