"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","900355"
"eastern cape","Pfizer","1312510"
"free state","Johnson & Johnson","479017"
"free state","Pfizer","660093"
"gauteng","Johnson & Johnson","1502321"
"gauteng","Pfizer","3847397"
"kwazulu-natal","Johnson & Johnson","1208653"
"kwazulu-natal","Pfizer","1929515"
"limpopo","Johnson & Johnson","1061405"
"limpopo","Pfizer","1021581"
"mpumalanga","Johnson & Johnson","797637"
"mpumalanga","Pfizer","556415"
"northern cape","Johnson & Johnson","210928"
"northern cape","Pfizer","219971"
"north west","Johnson & Johnson","703036"
"north west","Pfizer","610374"
"western cape","Johnson & Johnson","737933"
"western cape","Pfizer","2097823"
