"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10657","5057","15714"
"National","eastern cape","Private Health","Male","8939","3879","12818"
"National","eastern cape","Public Health","Female","143207","47904","191111"
"National","eastern cape","Public Health","Male","116582","33285","149867"
"National","free state","Private Health","Female","9213","4367","13580"
"National","free state","Private Health","Male","7496","3341","10837"
"National","free state","Public Health","Female","84054","38589","122643"
"National","free state","Public Health","Male","71779","28847","100626"
"National","gauteng","Private Health","Female","54048","29500","83548"
"National","gauteng","Private Health","Male","49394","25141","74535"
"National","gauteng","Public Health","Female","162127","63178","225305"
"National","gauteng","Public Health","Male","127846","46126","173972"
"National","kwazulu-natal","Private Health","Female","17447","9636","27083"
"National","kwazulu-natal","Private Health","Male","15739","8154","23893"
"National","kwazulu-natal","Public Health","Female","151395","58993","210388"
"National","kwazulu-natal","Public Health","Male","102843","35729","138572"
"National","limpopo","Private Health","Female","11682","5033","16715"
"National","limpopo","Private Health","Male","9044","3487","12531"
"National","limpopo","Public Health","Female","136852","44274","181126"
"National","limpopo","Public Health","Male","116711","33057","149768"
"National","mpumalanga","Private Health","Female","4004","1670","5674"
"National","mpumalanga","Private Health","Male","3508","1460","4968"
"National","mpumalanga","Public Health","Female","74358","23732","98090"
"National","mpumalanga","Public Health","Male","61650","16712","78362"
"National","northern cape","Private Health","Female","2143","1030","3173"
"National","northern cape","Private Health","Male","1958","777","2735"
"National","northern cape","Public Health","Female","16341","5047","21388"
"National","northern cape","Public Health","Male","12846","3760","16606"
"National","north west","Private Health","Female","5275","2398","7673"
"National","north west","Private Health","Male","4767","2003","6770"
"National","north west","Public Health","Female","78973","27098","106071"
"National","north west","Public Health","Male","65216","19360","84576"
"National","western cape","Private Health","Female","23727","12263","35990"
"National","western cape","Private Health","Male","21274","10551","31825"
"National","western cape","Public Health","Female","47103","15481","62584"
"National","western cape","Public Health","Male","39158","12611","51769"
