"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","527562"
"kwazulu-natal","Private Health","1212981"
"western cape","Private Health","1883863"
"limpopo","Private Health","589866"
"northern cape","Public Health","573960"
"gauteng","Private Health","4469674"
"kwazulu-natal","Public Health","4459861"
"free state","Public Health","1797775"
"north west","Public Health","1741035"
"gauteng","Public Health","5689909"
"mpumalanga","Private Health","393570"
"mpumalanga","Public Health","1820381"
"northern cape","Private Health","154558"
"eastern cape","Private Health","678604"
"western cape","Public Health","3610375"
"limpopo","Public Health","3033864"
"free state","Private Health","390723"
"eastern cape","Public Health","3377442"
