"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","907379"
"eastern cape","Pfizer","1320177"
"free state","Johnson & Johnson","482451"
"free state","Pfizer","664808"
"gauteng","Johnson & Johnson","1518838"
"gauteng","Pfizer","3869590"
"kwazulu-natal","Johnson & Johnson","1220625"
"kwazulu-natal","Pfizer","1947715"
"limpopo","Johnson & Johnson","1070088"
"limpopo","Pfizer","1028630"
"mpumalanga","Johnson & Johnson","807969"
"mpumalanga","Pfizer","561548"
"northern cape","Johnson & Johnson","212511"
"northern cape","Pfizer","221879"
"north west","Johnson & Johnson","707610"
"north west","Pfizer","614547"
"western cape","Johnson & Johnson","743119"
"western cape","Pfizer","2106014"
