"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","28"
"eastern cape","Public Health","1705"
"free state","Private Health","38"
"free state","Public Health","197"
"gauteng","Private Health","269"
"gauteng","Public Health","630"
"kwazulu-natal","Private Health","29"
"kwazulu-natal","Public Health","576"
"limpopo","Private Health","36"
"limpopo","Public Health","972"
"mpumalanga","Private Health","12"
"mpumalanga","Public Health","684"
"mpumalanga","","1"
"northern cape","Private Health","8"
"northern cape","Public Health","163"
"north west","Private Health","13"
"north west","Public Health","327"
"western cape","Private Health","30"
"western cape","Public Health","507"
