"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","37"
"Janssen Vaccines & Prevention B.V","free state","Adults","18"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","200"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","127"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","164"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","131"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","32"
"Janssen Vaccines & Prevention B.V","north west","Adults","102"
"Janssen Vaccines & Prevention B.V","western cape","Adults","77"
"Pfizer","eastern cape","12-17 Years","476"
"Pfizer","eastern cape","Adults","177"
"Pfizer","free state","12-17 Years","33"
"Pfizer","free state","Adults","36"
"Pfizer","gauteng","12-17 Years","36"
"Pfizer","gauteng","Adults","177"
"Pfizer","kwazulu-natal","12-17 Years","20"
"Pfizer","kwazulu-natal","Adults","101"
"Pfizer","limpopo","12-17 Years","66"
"Pfizer","limpopo","Adults","130"
"Pfizer","mpumalanga","12-17 Years","145"
"Pfizer","mpumalanga","Adults","90"
"Pfizer","northern cape","12-17 Years","17"
"Pfizer","northern cape","Adults","32"
"Pfizer","north west","12-17 Years","12"
"Pfizer","north west","Adults","49"
"Pfizer","western cape","12-17 Years","52"
"Pfizer","western cape","Adults","87"
