"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","513941"
"kwazulu-natal","Private Health","1189017"
"western cape","Private Health","1843531"
"limpopo","Private Health","572831"
"northern cape","Public Health","545824"
"gauteng","Private Health","4371830"
"kwazulu-natal","Public Health","4231378"
"free state","Public Health","1725510"
"north west","Public Health","1677389"
"gauteng","Public Health","5509861"
"mpumalanga","Private Health","384785"
"mpumalanga","Public Health","1727913"
"northern cape","Private Health","150550"
"eastern cape","Private Health","663625"
"western cape","Public Health","3543012"
"limpopo","Public Health","2886171"
"free state","Private Health","378287"
"eastern cape","Public Health","3209339"
