"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10686","4849","15535"
"National","eastern cape","Private Health","Male","8881","3705","12586"
"National","eastern cape","Public Health","Female","124565","31515","156080"
"National","eastern cape","Public Health","Male","100315","20894","121209"
"National","free state","Private Health","Female","8918","3932","12850"
"National","free state","Private Health","Male","7273","2999","10272"
"National","free state","Public Health","Female","78663","32201","110864"
"National","free state","Public Health","Male","66816","23454","90270"
"National","gauteng","Private Health","Female","54204","28580","82784"
"National","gauteng","Private Health","Male","49219","24252","73471"
"National","gauteng","Public Health","Female","149033","50954","199987"
"National","gauteng","Public Health","Male","117612","37335","154947"
"National","kwazulu-natal","Private Health","Female","17475","9357","26832"
"National","kwazulu-natal","Private Health","Male","15751","7879","23630"
"National","kwazulu-natal","Public Health","Female","125318","38872","164190"
"National","kwazulu-natal","Public Health","Male","84876","23556","108432"
"National","limpopo","Private Health","Female","10891","4495","15386"
"National","limpopo","Private Health","Male","8521","3226","11747"
"National","limpopo","Public Health","Female","117148","33400","150548"
"National","limpopo","Public Health","Male","98397","24998","123395"
"National","mpumalanga","Private Health","Female","4031","1596","5627"
"National","mpumalanga","Private Health","Male","3520","1381","4901"
"National","mpumalanga","Public Health","Female","65780","17039","82819"
"National","mpumalanga","Public Health","Male","55231","12290","67521"
"National","northern cape","Private Health","Female","2135","993","3128"
"National","northern cape","Private Health","Male","1942","732","2674"
"National","northern cape","Public Health","Female","12274","3487","15761"
"National","northern cape","Public Health","Male","9817","2616","12433"
"National","north west","Private Health","Female","5262","2324","7586"
"National","north west","Private Health","Male","4738","1944","6682"
"National","north west","Public Health","Female","73442","21833","95275"
"National","north west","Public Health","Male","60654","15590","76244"
"National","western cape","Private Health","Female","23697","11728","35425"
"National","western cape","Private Health","Male","21118","9961","31079"
"National","western cape","Public Health","Female","46639","14836","61475"
"National","western cape","Public Health","Male","38687","12092","50779"
