"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","892247"
"Janssen Vaccines & Prevention B.V","free state","Adults","475424"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1485718"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1194815"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1053328"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","787965"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","209303"
"Janssen Vaccines & Prevention B.V","north west","Adults","697727"
"Janssen Vaccines & Prevention B.V","western cape","Adults","733113"
"Pfizer","eastern cape","12-17 Years","60963"
"Pfizer","eastern cape","Adults","1086366"
"Pfizer","free state","12-17 Years","62586"
"Pfizer","free state","Adults","570874"
"Pfizer","gauteng","12-17 Years","141121"
"Pfizer","gauteng","Adults","3291930"
"Pfizer","kwazulu-natal","12-17 Years","79664"
"Pfizer","kwazulu-natal","Adults","1575136"
"Pfizer","limpopo","12-17 Years","66119"
"Pfizer","limpopo","Adults","848896"
"Pfizer","mpumalanga","12-17 Years","32306"
"Pfizer","mpumalanga","Adults","451175"
"Pfizer","northern cape","12-17 Years","7828"
"Pfizer","northern cape","Adults","185986"
"Pfizer","north west","12-17 Years","41691"
"Pfizer","north west","Adults","522180"
"Pfizer","western cape","12-17 Years","48617"
"Pfizer","western cape","Adults","1827940"
