"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","54"
"eastern cape","Public Health","2439"
"free state","Private Health","43"
"free state","Public Health","642"
"gauteng","Private Health","518"
"gauteng","Public Health","1247"
"kwazulu-natal","Private Health","177"
"kwazulu-natal","Public Health","1685"
"limpopo","Private Health","120"
"limpopo","Public Health","1432"
"mpumalanga","Private Health","75"
"mpumalanga","Public Health","917"
"northern cape","Private Health","23"
"northern cape","Public Health","169"
"north west","Private Health","32"
"north west","Public Health","232"
"western cape","Private Health","212"
"western cape","Public Health","770"
