"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538474"
"kwazulu-natal","Private Health","1238463"
"western cape","Private Health","1924635"
"limpopo","Private Health","611990"
"northern cape","Public Health","616997"
"gauteng","Private Health","4588390"
"kwazulu-natal","Public Health","4699086"
"mpumalanga","","22"
"free state","Public Health","1878340"
"north west","Public Health","1802816"
"gauteng","Public Health","5888442"
"mpumalanga","Private Health","406917"
"mpumalanga","Public Health","1957610"
"western cape","","3"
"northern cape","Private Health","158473"
"eastern cape","Private Health","695496"
"western cape","Public Health","3705855"
"limpopo","Public Health","3187083"
"limpopo","","2"
"free state","Private Health","402184"
"eastern cape","Public Health","3614521"
