"vaccine_manufacturer","province","district","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Amathole DM","Adults","103129"
"Janssen Vaccines & Prevention B.V","eastern cape","A Nzo DM","Adults","120043"
"Janssen Vaccines & Prevention B.V","eastern cape","Buffalo City MM","Adults","72238"
"Janssen Vaccines & Prevention B.V","eastern cape","C Hani DM","Adults","107690"
"Janssen Vaccines & Prevention B.V","eastern cape","Joe Gqabi DM","Adults","51483"
"Janssen Vaccines & Prevention B.V","eastern cape","N Mandela Bay MM","Adults","166160"
"Janssen Vaccines & Prevention B.V","eastern cape","O Tambo DM","Adults","212454"
"Janssen Vaccines & Prevention B.V","eastern cape","Sarah Baartman DM","Adults","90974"
"Janssen Vaccines & Prevention B.V","free state","Fezile Dabi DM","Adults","81351"
"Janssen Vaccines & Prevention B.V","free state","Lejweleputswa DM","Adults","76108"
"Janssen Vaccines & Prevention B.V","free state","Mangaung MM","Adults","153690"
"Janssen Vaccines & Prevention B.V","free state","T Mofutsanyana DM","Adults","144838"
"Janssen Vaccines & Prevention B.V","free state","Xhariep DM","Adults","33433"
"Janssen Vaccines & Prevention B.V","gauteng","Ekurhuleni MM","Adults","328945"
"Janssen Vaccines & Prevention B.V","gauteng","Johannesburg MM","Adults","562485"
"Janssen Vaccines & Prevention B.V","gauteng","Sedibeng DM","Adults","102901"
"Janssen Vaccines & Prevention B.V","gauteng","Tshwane MM","Adults","469767"
"Janssen Vaccines & Prevention B.V","gauteng","West Rand DM","Adults","108168"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Amajuba DM","Adults","80205"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","eThekwini MM","Adults","346467"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Harry Gwala DM","Adults","58828"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","iLembe DM","Adults","64073"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","King Cetshwayo DM","Adults","102917"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Ugu DM","Adults","67838"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","uMgungundlovu DM","Adults","142082"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Umkhanyakude DM","Adults","102889"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Umzinyathi DM","Adults","97662"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Uthukela DM","Adults","97123"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Zululand DM","Adults","98935"
"Janssen Vaccines & Prevention B.V","limpopo","Capricorn DM","Adults","275607"
"Janssen Vaccines & Prevention B.V","limpopo","Mopani DM","Adults","245792"
"Janssen Vaccines & Prevention B.V","limpopo","Sekhukhune DM","Adults","187323"
"Janssen Vaccines & Prevention B.V","limpopo","Vhembe DM","Adults","245374"
"Janssen Vaccines & Prevention B.V","limpopo","Waterberg DM","Adults","137014"
"Janssen Vaccines & Prevention B.V","mpumalanga","Ehlanzeni DM","Adults","417264"
"Janssen Vaccines & Prevention B.V","mpumalanga","G Sibande DM","Adults","189703"
"Janssen Vaccines & Prevention B.V","mpumalanga","Nkangala DM","Adults","232785"
"Janssen Vaccines & Prevention B.V","northern cape","Frances Baard DM","Adults","72014"
"Janssen Vaccines & Prevention B.V","northern cape","J T Gaetsewe DM","Adults","41928"
"Janssen Vaccines & Prevention B.V","northern cape","Namakwa DM","Adults","16383"
"Janssen Vaccines & Prevention B.V","northern cape","Pixley ka Seme DM","Adults","28293"
"Janssen Vaccines & Prevention B.V","northern cape","ZF Mgcawu DM","Adults","59601"
"Janssen Vaccines & Prevention B.V","north west","Bojanala Platinum DM","Adults","297842"
"Janssen Vaccines & Prevention B.V","north west","Dr K Kaunda DM","Adults","109482"
"Janssen Vaccines & Prevention B.V","north west","Ngaka Modiri Molema DM","Adults","201296"
"Janssen Vaccines & Prevention B.V","north west","Ruth Segomotsi Mompati DM","Adults","110611"
"Janssen Vaccines & Prevention B.V","western cape","Cape Town MM","Adults","435477"
"Janssen Vaccines & Prevention B.V","western cape","Cape Winelands DM","Adults","121750"
"Janssen Vaccines & Prevention B.V","western cape","Central Karoo DM","Adults","6839"
"Janssen Vaccines & Prevention B.V","western cape","Garden Route DM","Adults","78237"
"Janssen Vaccines & Prevention B.V","western cape","Overberg DM","Adults","47550"
"Janssen Vaccines & Prevention B.V","western cape","West Coast DM","Adults","68741"
"Pfizer","eastern cape","Amathole DM","12-17 Years","10157"
"Pfizer","eastern cape","Amathole DM","Adults","149025"
"Pfizer","eastern cape","A Nzo DM","12-17 Years","30985"
"Pfizer","eastern cape","A Nzo DM","Adults","104738"
"Pfizer","eastern cape","Buffalo City MM","12-17 Years","18275"
"Pfizer","eastern cape","Buffalo City MM","Adults","214628"
"Pfizer","eastern cape","C Hani DM","12-17 Years","6413"
"Pfizer","eastern cape","C Hani DM","Adults","119084"
"Pfizer","eastern cape","Joe Gqabi DM","12-17 Years","5480"
"Pfizer","eastern cape","Joe Gqabi DM","Adults","56066"
"Pfizer","eastern cape","N Mandela Bay MM","12-17 Years","14840"
"Pfizer","eastern cape","N Mandela Bay MM","Adults","276587"
"Pfizer","eastern cape","O Tambo DM","12-17 Years","29941"
"Pfizer","eastern cape","O Tambo DM","Adults","137579"
"Pfizer","eastern cape","Sarah Baartman DM","12-17 Years","11256"
"Pfizer","eastern cape","Sarah Baartman DM","Adults","93941"
"Pfizer","free state","Fezile Dabi DM","12-17 Years","9260"
"Pfizer","free state","Fezile Dabi DM","Adults","94052"
"Pfizer","free state","Lejweleputswa DM","12-17 Years","11517"
"Pfizer","free state","Lejweleputswa DM","Adults","154404"
"Pfizer","free state","Mangaung MM","12-17 Years","28384"
"Pfizer","free state","Mangaung MM","Adults","202131"
"Pfizer","free state","T Mofutsanyana DM","12-17 Years","29036"
"Pfizer","free state","T Mofutsanyana DM","Adults","138259"
"Pfizer","free state","Xhariep DM","12-17 Years","2006"
"Pfizer","free state","Xhariep DM","Adults","14319"
"Pfizer","gauteng","Ekurhuleni MM","12-17 Years","38471"
"Pfizer","gauteng","Ekurhuleni MM","Adults","809443"
"Pfizer","gauteng","Johannesburg MM","12-17 Years","55252"
"Pfizer","gauteng","Johannesburg MM","Adults","1495487"
"Pfizer","gauteng","Sedibeng DM","12-17 Years","12054"
"Pfizer","gauteng","Sedibeng DM","Adults","155432"
"Pfizer","gauteng","Tshwane MM","12-17 Years","44214"
"Pfizer","gauteng","Tshwane MM","Adults","732458"
"Pfizer","gauteng","West Rand DM","12-17 Years","18073"
"Pfizer","gauteng","West Rand DM","Adults","235343"
"Pfizer","kwazulu-natal","Amajuba DM","12-17 Years","4682"
"Pfizer","kwazulu-natal","Amajuba DM","Adults","50146"
"Pfizer","kwazulu-natal","eThekwini MM","12-17 Years","22924"
"Pfizer","kwazulu-natal","eThekwini MM","Adults","771741"
"Pfizer","kwazulu-natal","Harry Gwala DM","12-17 Years","13633"
"Pfizer","kwazulu-natal","Harry Gwala DM","Adults","68464"
"Pfizer","kwazulu-natal","iLembe DM","12-17 Years","6919"
"Pfizer","kwazulu-natal","iLembe DM","Adults","99056"
"Pfizer","kwazulu-natal","King Cetshwayo DM","12-17 Years","8293"
"Pfizer","kwazulu-natal","King Cetshwayo DM","Adults","92910"
"Pfizer","kwazulu-natal","Ugu DM","12-17 Years","8860"
"Pfizer","kwazulu-natal","Ugu DM","Adults","134969"
"Pfizer","kwazulu-natal","uMgungundlovu DM","12-17 Years","9656"
"Pfizer","kwazulu-natal","uMgungundlovu DM","Adults","214130"
"Pfizer","kwazulu-natal","Umkhanyakude DM","12-17 Years","15695"
