"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","534749"
"kwazulu-natal","Private Health","1231328"
"western cape","Private Health","1912308"
"limpopo","Private Health","602117"
"northern cape","Public Health","603623"
"gauteng","Private Health","4547955"
"kwazulu-natal","Public Health","4615239"
"free state","Public Health","1846420"
"north west","Public Health","1776727"
"gauteng","Public Health","5795184"
"mpumalanga","Private Health","404646"
"mpumalanga","Public Health","1903576"
"northern cape","Private Health","156918"
"eastern cape","Private Health","689923"
"western cape","Public Health","3659567"
"limpopo","Public Health","3112222"
"free state","Private Health","398247"
"eastern cape","Public Health","3486709"
