"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","105"
"eastern cape","Public Health","1015"
"free state","Private Health","12"
"free state","Public Health","657"
"gauteng","Private Health","476"
"gauteng","Public Health","1350"
"kwazulu-natal","Private Health","85"
"kwazulu-natal","Public Health","1420"
"limpopo","Private Health","546"
"limpopo","Public Health","1440"
"mpumalanga","Private Health","40"
"mpumalanga","Public Health","974"
"northern cape","Private Health","11"
"northern cape","Public Health","142"
"north west","Private Health","67"
"north west","Public Health","266"
"western cape","Private Health","182"
"western cape","Public Health","721"
