"vaccine_rollout_phase","province","district","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Amathole DM","Private Health","Female","156","38","194"
"National","eastern cape","Amathole DM","Private Health","Male","100","19","119"
"National","eastern cape","Amathole DM","Public Health","Female","13865","4514","18379"
"National","eastern cape","Amathole DM","Public Health","Male","11740","3771","15511"
"National","eastern cape","A Nzo DM","Public Health","Female","29839","14176","44015"
"National","eastern cape","A Nzo DM","Public Health","Male","25784","10510","36294"
"National","eastern cape","Buffalo City MM","Private Health","Female","2906","1196","4102"
"National","eastern cape","Buffalo City MM","Private Health","Male","2374","915","3289"
"National","eastern cape","Buffalo City MM","Public Health","Female","16082","8990","25072"
"National","eastern cape","Buffalo City MM","Public Health","Male","12368","6113","18481"
"National","eastern cape","C Hani DM","Private Health","Female","227","103","330"
"National","eastern cape","C Hani DM","Private Health","Male","162","74","236"
"National","eastern cape","C Hani DM","Public Health","Female","14067","3640","17707"
"National","eastern cape","C Hani DM","Public Health","Male","11291","2642","13933"
"National","eastern cape","Joe Gqabi DM","Private Health","Female","666","368","1034"
"National","eastern cape","Joe Gqabi DM","Private Health","Male","513","219","732"
"National","eastern cape","Joe Gqabi DM","Public Health","Female","7903","2705","10608"
"National","eastern cape","Joe Gqabi DM","Public Health","Male","7079","2148","9227"
"National","eastern cape","N Mandela Bay MM","Private Health","Female","4179","2098","6277"
"National","eastern cape","N Mandela Bay MM","Private Health","Male","3742","1741","5483"
"National","eastern cape","N Mandela Bay MM","Public Health","Female","15766","6450","22216"
"National","eastern cape","N Mandela Bay MM","Public Health","Male","12264","4520","16784"
"National","eastern cape","O Tambo DM","Private Health","Female","319","122","441"
"National","eastern cape","O Tambo DM","Private Health","Male","255","113","368"
"National","eastern cape","O Tambo DM","Public Health","Female","43924","16769","60693"
"National","eastern cape","O Tambo DM","Public Health","Male","36700","12438","49138"
"National","eastern cape","Sarah Baartman DM","Private Health","Female","1603","1095","2698"
"National","eastern cape","Sarah Baartman DM","Private Health","Male","1386","828","2214"
"National","eastern cape","Sarah Baartman DM","Public Health","Female","9688","5344","15032"
"National","eastern cape","Sarah Baartman DM","Public Health","Male","8140","3947","12087"
"National","free state","Fezile Dabi DM","Private Health","Female","475","346","821"
"National","free state","Fezile Dabi DM","Private Health","Male","451","287","738"
"National","free state","Fezile Dabi DM","Public Health","Female","13349","4946","18295"
"National","free state","Fezile Dabi DM","Public Health","Male","10850","3579","14429"
"National","free state","Lejweleputswa DM","Private Health","Female","3847","1479","5326"
"National","free state","Lejweleputswa DM","Private Health","Male","3081","1112","4193"
"National","free state","Lejweleputswa DM","Public Health","Female","14224","5302","19526"
"National","free state","Lejweleputswa DM","Public Health","Male","12160","3712","15872"
"National","free state","Mangaung MM","Private Health","Female","2914","1701","4615"
"National","free state","Mangaung MM","Private Health","Male","2422","1297","3719"
"National","free state","Mangaung MM","Public Health","Female","23734","13959","37693"
"National","free state","Mangaung MM","Public Health","Male","21176","11220","32396"
"National","free state","T Mofutsanyana DM","Private Health","Female","1883","1148","3031"
"National","free state","T Mofutsanyana DM","Private Health","Male","1605","928","2533"
"National","free state","T Mofutsanyana DM","Public Health","Female","27155","15527","42682"
"National","free state","T Mofutsanyana DM","Public Health","Male","23263","11650","34913"
"National","free state","Xhariep DM","Public Health","Female","4310","1201","5511"
"National","free state","Xhariep DM","Public Health","Male","3531","795","4326"
"National","gauteng","Ekurhuleni MM","Private Health","Female","10977","6683","17660"
"National","gauteng","Ekurhuleni MM","Private Health","Male","10110","5660","15770"
"National","gauteng","Ekurhuleni MM","Public Health","Female","41292","15410","56702"
"National","gauteng","Ekurhuleni MM","Public Health","Male","32542","11171","43713"
"National","gauteng","Johannesburg MM","Private Health","Female","25704","13923","39627"
"National","gauteng","Johannesburg MM","Private Health","Male","23472","12060","35532"
"National","gauteng","Johannesburg MM","Public Health","Female","46900","16963","63863"
"National","gauteng","Johannesburg MM","Public Health","Male","37901","13211","51112"
"National","gauteng","Sedibeng DM","Private Health","Female","1616","1030","2646"
"National","gauteng","Sedibeng DM","Private Health","Male","1458","709","2167"
"National","gauteng","Sedibeng DM","Public Health","Female","13956","5961","19917"
"National","gauteng","Sedibeng DM","Public Health","Male","10959","4574","15533"
"National","gauteng","Tshwane MM","Private Health","Female","11710","6716","18426"
"National","gauteng","Tshwane MM","Private Health","Male","11114","6057","17171"
"National","gauteng","Tshwane MM","Public Health","Female","40132","18672","58804"
"National","gauteng","Tshwane MM","Public Health","Male","30951","13066","44017"
"National","gauteng","West Rand DM","Private Health","Female","2219","1525","3744"
"National","gauteng","West Rand DM","Private Health","Male","1846","1240","3086"
"National","gauteng","West Rand DM","Public Health","Female","17610","8798","26408"
"National","gauteng","West Rand DM","Public Health","Male","14398","6582","20980"
