"province","health_sector","total_number_vaccines_administered"
"gauteng","","2"
"north west","Private Health","537280"
"kwazulu-natal","Private Health","1237018"
"western cape","Private Health","1922637"
"limpopo","Private Health","609487"
"northern cape","Public Health","609803"
"gauteng","Private Health","4575964"
"kwazulu-natal","Public Health","4668701"
"free state","Public Health","1867189"
"north west","Public Health","1787416"
"gauteng","Public Health","5842950"
"mpumalanga","Private Health","406570"
"mpumalanga","Public Health","1933628"
"northern cape","Private Health","158123"
"eastern cape","Private Health","694353"
"western cape","Public Health","3685568"
"limpopo","Public Health","3148791"
"free state","Private Health","400851"
"eastern cape","Public Health","3555574"
